nohup: ignoring input
03:58:21 │ INFO     │ Loaded XGBoost degradation model
03:58:21 │ INFO     │ Circuits: ['albert_park', 'bahrain', 'baku', 'barcelona', 'cota', 'hungaroring', 'imola', 'interlagos', 'jeddah', 'las_vegas', 'lusail', 'mexico', 'miami', 'monaco', 'montreal', 'monza', 'shanghai', 'silverstone', 'singapore', 'spa', 'spielberg', 'suzuka', 'yas_marina', 'zandvoort']
03:58:21 │ INFO     │ Drivers: 20
03:58:21 │ INFO     │ Sims per combo: 50
03:58:21 │ INFO     │ Total combos: 9600
03:58:21 │ INFO     │ ============================================================
06:56:48 │ INFO     │   380/400 (95%) — 870s elapsed, ~46s remaining
06:57:33 │ INFO     │   400/400 (100%) — 915s elapsed, ~0s remaining
06:57:33 │ INFO     │   ✓ Qatar Grand Prix: 400 combos in 915s
06:57:33 │ INFO     │   Saved: results/scenarios/scenarios_lusail.json
06:57:33 │ INFO     │ ============================================================
06:57:33 │ INFO     │   PRECOMPUTING: Mexico City Grand Prix
06:57:33 │ INFO     │   20 drivers × 20 positions = 400 combos
06:57:33 │ INFO     │ ============================================================
06:58:31 │ INFO     │   20/400 (5%) — 58s elapsed, ~1110s remaining
06:59:29 │ INFO     │   40/400 (10%) — 116s elapsed, ~1047s remaining
07:00:26 │ INFO     │   60/400 (15%) — 173s elapsed, ~981s remaining
07:01:23 │ INFO     │   80/400 (20%) — 230s elapsed, ~921s remaining
07:02:20 │ INFO     │   100/400 (25%) — 287s elapsed, ~862s remaining
07:03:17 │ INFO     │   120/400 (30%) — 345s elapsed, ~804s remaining
07:04:14 │ INFO     │   140/400 (35%) — 402s elapsed, ~746s remaining
07:05:11 │ INFO     │   160/400 (40%) — 459s elapsed, ~688s remaining
07:06:09 │ INFO     │   180/400 (45%) — 516s elapsed, ~631s remaining
07:07:05 │ INFO     │   200/400 (50%) — 573s elapsed, ~573s remaining
07:08:03 │ INFO     │   220/400 (55%) — 630s elapsed, ~516s remaining
07:09:00 │ INFO     │   240/400 (60%) — 687s elapsed, ~458s remaining
07:09:59 │ INFO     │   260/400 (65%) — 746s elapsed, ~402s remaining
07:10:57 │ INFO     │   280/400 (70%) — 804s elapsed, ~345s remaining
